Winner,Loser
Tennessee,Ole Miss
Texas A&M,Vanderbilt
Texas Tech,Kansas St.
Northeastern,Towson
CSUN,UC Davis
UC Riverside,UC Irvine
UC Santa Barbara,Cal Poly
High Point,UNC Asheville
Col. of Charleston,UNCW
UT Arlington,Troy
UTEP,UTSA
UTRGV,New Mexico St.
Utah St.,Fresno St.
Dayton,VCU
Virginia,Louisville
Wagner,LIU Brooklyn
Eastern Wash.,Weber St.
Baylor,West Virginia
Wofford,Western Caro.
Western Ky.,Louisiana Tech
UNI,Wichita St.
James Madison,William & Mary
Gardner-Webb,Winthrop
Ill.-Chicago,Wright St.
Xavier,Creighton
Detroit Mercy,Youngstown St.
Army West Point,Holy Cross
Western Caro.,Chattanooga
Cincinnati,SMU
East Carolina,Memphis
UNI,Evansville
ETSU,Furman
Penn St.,Illinois
Indiana,Maryland
Lehigh,American
Green Bay,Milwaukee
Fairfield,Monmouth
Northwestern,Nebraska
IUPUI,North Dakota St.
Denver,Omaha
Purdue,Wisconsin
Siena,Iona
FGCU,Stetson
Tulane,Temple
UConn,UCF
Winthrop,UNC Asheville
Northeastern,UNCW
Hofstra,William & Mary
Detroit Mercy,Wright St.
