name,country,gender,birth_year
David Francis Barrow,United States of America,male,1888
Edward Norton Lorenz,United States of America,male,1917
Murray S. Klamkin,United States of America,male,1921
Boris Levitan,"Russian Empire, Soviet Union, United States of America",male,1914
Herbert Keller,United States of America,male,1925
Walter Neumann,,male,1946
Heinrich Burkhardt,Germany,male,1861
Nguyen Dinh Ngoc,Vietnam,male,1932
Moritz Pasch,Germany,male,1843
Evan ODorney,United States of America,male,1993
Raymond Louis Wilder,United States of America,male,1896
Samuel McLaren,Australia,male,1876
John H. Coates,Australia,male,1945
Peter Slodowy,Germany,male,1948
Manfredo do Carmo,Brazil,male,1928
Nicoteles of Cyrene,,male,
David Dolidze,,male,1908
David Tall,United Kingdom,male,1941
Peter Shalen,United States of America,male,1944
Leo Törnqvist,Finland,male,1911
Friedrich Robert Helmert,Germany,male,1843
Hans Maass,Germany,male,1911
Stefan Lucks,Germany,male,1964
Walter Bodmer,United Kingdom,male,1936
Abu Ali al-Hasan al-Marrakushi,Morocco,male,
John Wishart (statistician),Scotland,male,1898
David Rees (mathematician),United Kingdom,male,1918
Karl Egil Aubert,Norway,male,1924
Edmond Halley,Kingdom of England,male,1656
Józef H. Przytycki,Poland,male,1953
Arthur Herbert Copeland,United States of America,male,1898
Rudolf Ernest Langer,United States of America,male,1894
Bin Yu,United States of America,female,
Hamnet Holditch,United Kingdom,male,1800
Christopher Budd (mathematician),United Kingdom,male,1960
Erling Følner,,male,1919
Thomas Merry,Kingdom of England,male,1605
John L. Kelley,United States of America,male,1916
Larry V. Hedges,United States of America,male,
Emil Artin,"Germany, United States of America, Austria, Armenia",male,1898
Ernst Sejersted Selmer,Norway,male,1920
Gloria Conyers Hewitt,United States of America,female,1935
Heinz Bachmann,Switzerland,male,1924
Gianni Dal Maso,Italy,male,1954
John Hudson (mathematician),,male,1773
Shen Kuo,China,male,1031
Sun-Yung Alice Chang,United States of America,female,1948
Robert Gordon of Straloch,,male,1580
Alwin Korselt,Germany,male,1864
Salem Hanna Khamis,,male,1919
Vladimir Lefebvre,Soviet Union,male,1936
Pepijn van Erp,,male,1972
Hugh William Segar,New Zealand,male,1868
Bill Schelter,United States of America,male,1947
Renu C. Laskar,United States of America,female,
Mladen Bestvina,United States of America,male,1959
Josef Stoer,Germany,male,1934
Alexander Tetelbaum,United States of America,male,1948
Mark J. Ablowitz,United States of America,male,1945
George G. Hall,United Kingdom,male,1925
Felix Otto (mathematician),Germany,male,1966
William Elwood Byerly,,male,1849
Đuro Kurepa,"Socialist Federal Republic of Yugoslavia, Kingdom of Yugoslavia, Kingdom of Serbs, Croatians and Slovenes, Austria-Hungary, Federal Republic of Yugoslavia",male,1907
David Gabai,United States of America,male,1954
Ruth Moufang,Germany,female,1905
José Anastácio da Cunha,Portugal,male,1744
Bent Jørgensen (statistician),,male,1954
William Galbraith (mathematician),,male,1786
Muramatsu Shigekiyo,,male,1608
G. S. Carr,United Kingdom,male,1837
Andrew Guinand,,male,1912
William Reginald Dean,,male,1896
Ravi Jagannathan,,male,1949
Charlotte Barnum,United States of America,female,1860
Marston Morse,United States of America,male,1892
James Cullen (mathematician),Ireland,male,1867
Sylvie Paycha,France,female,1960
Sofya Yanovskaya,Soviet Union,female,1896
Ismail al-Jazari,,male,1136
Jakob Steiner,Switzerland,male,1796
George F C Griss,Kingdom of the Netherlands,male,1898
Euphemia Haynes,United States of America,female,1890
John Müller,,male,1699
Dmitry Kramkov,Russia,male,1900
"David Crenshaw Barrow, Jr.",United States of America,male,1852
Anton Kotzig,Canada,male,1919
Horst Knörrer,Germany,male,1953
Lesley Sibner,United States of America,female,1934
Donald Dines Wall,United States of America,male,1921
Georgii Yurii Pfeiffer,Soviet Union,male,1872
William Stanley Jevons,United Kingdom,male,1835
Cargill Gilston Knott,United Kingdom,male,1856
Thomas M. Cover,United States of America,male,1938
José Celestino Mutis,Spain,male,1732
Nathaniel Bowditch,United States of America,male,1773
Percival Frost,,male,1817
Felix Finster,Germany,male,1967
Wolfgang Walter,Germany,male,1927
Victor Szebehely,United States of America,male,1921
Jean-Yves Girard,France,male,1947
Zinovy Reichstein,Canada,male,1961
Thomas Kingsmill Abbott,,male,1829
Alison Etheridge,United Kingdom,female,1964
Étienne Bobillier,France,male,1798
Georg Landsberg,Germany,male,1865
Henri Cohen (number theorist),France,male,1947
David Pingree,United States of America,male,1933
Branko Grünbaum,Israel,male,1929
Wang Fan,,male,228
Burton Rodin,United States of America,male,1933
Jamal Nazrul Islam,Bangladesh,male,1939
Georg Heinrich Ferdinand Nesselmann,Germany,male,1811
Tom M. Apostol,United States of America,male,1923
Adrian Krzyżanowski,Poland,male,1788
Torrence Parsons,United States of America,male,1941
Blasius of Parma,,male,1355
Edmund Landau,Germany,male,1877
Herman March,United States of America,male,1878
Carol S. Woodward,United States of America,female,
Jean Dieudonné,"France, Brazil",male,1906
Trygve Nagell,"Norway, Sweden",male,1895
Gautam Mitra,,male,
Thomas Hornsby,United Kingdom,male,1733
Giovanni Pighizzini,,male,
Francis Skinner,,male,1912
Steve Shnider,,male,1945
Édouard Goursat,France,male,1858
Ivan Pervushin,Russian Empire,male,1827
Alexis Vasseur,,male,
Samuel S. Wagstaff Jr.,United States of America,male,1945
Mary L. Boas,United States of America,female,1917
Stan van Hoesel,,male,1961
Lipman Bers,United States of America,male,1914
Richard Arenstorf,United States of America,male,1929
José Sebastião e Silva,Portugal,male,1914
A. W. F. Edwards,United Kingdom,male,1935
William John Dundas,,male,1849
Abe Gelbart,United States of America,male,1911
Rolando Chuaqui,,male,1935
Doug Altman,United Kingdom,male,1948
Leonard Henry Caleb Tippett,United Kingdom,male,1902
Tullio Levi-Civita,Kingdom of Italy,male,1873
Alexander Dewdney,Canada,male,1941
Aleksandr Gennadievich Kurosh,Soviet Union,male,1908
Victor S. Miller,United States of America,male,1947
Frank Adams,United Kingdom,male,1930
Johan Ludvig Heiberg (historian),Denmark,male,1854
Einar Hille,United States of America,male,1894
Carl Theodor Anger,,male,1803
Vernor Vinge,United States of America,male,1944
Johannes de Sacrobosco,United Kingdom,male,1195
Solomon Kullback,United States of America,male,1907
Maria Angela Ardinghelli,Italy,female,1728
Franz Breisig,Germany,male,1868
Esprit Jouffret,France,male,1837
Alexander Dinghas,Germany,male,1908
Jean-Victor Poncelet,France,male,1788
David Eppstein,United States of America,male,1963
Argelia Velez-Rodriguez,Cuba,female,1936
Florian Luca,Mexico,male,1969
George William Morgenthaler,United States of America,male,
Léon-François-Antoine Aurifeuille,France,male,1822
Ross Honsberger,Canada,male,1929
Eric de Sturler,Kingdom of the Netherlands,male,1966
Peter Salamon,United States of America,male,
Alain Badiou,France,male,1937
Endre Szemerédi,Hungary,male,1940
Lakkoju Sanjeevaraya Sharma,,male,1907
Jean-Pierre Eckmann,Switzerland,male,1944
Maurice Lévy,France,male,1838
Rinad Yulmukhametov,"Soviet Union, Russia",male,1957
Alice Bache Gould,Spain,female,1868
Vladimir Boltyansky,"Russia, Soviet Union",male,1925
Eutocius of Ascalon,Byzantine Empire,male,480
Aubrey Jaffer,,male,
Achille Brocot,France,male,1817
Mireille Bousquet-Mélou,France,female,1967
Ian G. Enting,Australia,male,1948
James Whitbread Lee Glaisher,United Kingdom,male,1848
Katsuya Eda,,male,
Joseph H. Silverman,United States of America,male,1955
Pingala,India,male,
Eduard Heis,Germany,male,1806
Evelyn Fix,,female,1904
Rūsiņš Mārtiņš Freivalds,"Latvia, Soviet Union",male,1942
Benjamin Gompertz,United Kingdom,male,1779
Percey F. Smith,United States of America,male,1867
Richard D. Gill,Kingdom of the Netherlands,male,1951
Otto Haupt,Germany,male,1887
Teruhisa Matsusaka,,male,1926
Paul Dirac,"United Kingdom, 1919, Switzerland, 1919",male,1902
Marcel Brillouin,France,male,1854
Ciprian Manolescu,Romania,male,1978
Leon O. Chua,United States of America,male,1936
James B. Carrell,United States of America,male,1940
Ross Ihaka,,male,1954
Jonathan Rosenberg (mathematician),United States of America,male,1951
Charles Castonguay,Canada,male,1940
Anil Nerode,United States of America,male,1932
Lassi Päivärinta,Finland,male,1954
John Barrow (historian),United Kingdom,male,
Erasmus Reinhold,Germany,male,1511
Jan Koenderink,Kingdom of the Netherlands,male,1943
Klaus Wagner,Germany,male,1910
Lizhen Ji,United States of America,male,1964
Asad Naqvi,Pakistan,male,1972
Norbert A’Campo,Switzerland,male,1941
David Sayre,United States of America,male,1924
Edoardo Vesentini,Italy,male,1928
Peter C. Fishburn,United States of America,male,1936
Rizvan Pashayev,,male,1949
Brian Swimme,United States of America,male,1950
Jan Rajewski,,male,1857
Arthur Preston Mellish,Canada,male,1905
Michael Aizenman,United States of America,male,1945
Alejandro Adem,Canada,male,1961
Christopher Zeeman,United Kingdom,male,1925
"Nicholas M. Smith, Jr.",,male,1914
Hugo Steinhaus,Poland,male,1887
Peter Cameron (mathematician),Australia,male,1947
Paulette Libermann,France,female,1919
Glenn F. Webb,,male,
Hiraku Nakajima,Japan,male,1962
Mahāvīra (mathematician),,male,800
Robert Creighton Buck,United States of America,male,1920
Julian Sochocki,Russian Empire,male,1842
Johann Wilhelm Andreas Pfaff,Germany,male,1774
Joachim Lambek,Germany,male,1922
Al-Isfizari,,male,
Daniel Gorenstein,United States of America,male,1923
Michael D. Fried,,male,
Narayana Pandit,India,male,
Lajos Pósa (mathematician),Hungary,male,1947
Dwight Barkley,,male,1959
Tsuneo Tamagawa,Japan,male,1925
Kate Bellingham,United Kingdom,female,1963
Irene Fischer,United States of America,female,1907
Guillaume Le Blond,France,male,1704
Silvo Breskvar,Socialist Federal Republic of Yugoslavia,male,1902
Daniel Abibi,Republic of the Congo,male,1942
Xhezair Teliti,Albania,male,1948
Pierre Bardin,France,male,1590
Bernd Siebert,Germany,male,1964
Reinhardt Kiehl,Germany,male,1935
Peter Richtarik,,male,
Jin Akiyama,Japan,male,1946
Pierre Bouguer,France,male,1698
Sylvia Wiegand,United States of America,female,1945
Oskar Sandberg,,male,1980
Henri Villat,France,male,1879
Elizabeth Scott (mathematician),United States of America,female,1917
Hubert Anson Newton,United States of America,male,1830
Cleomedes,,male,100
Tommaso Ceva,,male,1648
Michael O. Rabin,Israel,male,1931
Alexander Abercrombie,United Kingdom,male,1949
James Franklin (philosopher),Australia,male,1953
Chitikila Musili,India,male,
Steven Brams,United States of America,male,1940
Yakov Pesin,,,
Juan Bermudo,Spain,male,1510
Emil Müller (mathematician),Austria,male,1861
William Goldman (mathematician),United States of America,male,1955
Peter Killworth,United Kingdom,male,1946
Greg Hjorth,Australia,male,1963
Charles Hayes (mathematician),,male,1678
Joseph Dauben,United States of America,male,1944
Lev Ponomaryov,"Soviet Union, Russia",male,1941
E. Morton Jellinek,United States of America,male,1890
Theodor Reye,Germany,male,1838
Philip Franklin,United States of America,male,1898
Eric Schadt,United States of America,male,1965
Leslie Howarth,United Kingdom,male,1911
Marcel Guénin,Switzerland,male,1937
Nicolaas Govert de Bruijn,Kingdom of the Netherlands,male,1918
Richard F. Bass,United States of America,male,
William Gemmell Cochran,United Kingdom,male,1909
Harry Dym,,male,1938
Amie Wilkinson,United States of America,female,1968
Xuejia Lai,"""Peoples Republic of China""",male,
David E. Rowe,United States of America,male,1950
Henrik Palmstrøm,Norway,male,1900
Kunihiko Kodaira,Japan,male,1915
Adi Shamir,Israel,male,1952
Stephen Hawking,United Kingdom,male,1942
"Andrey Markov, Jr.",Soviet Union,male,1903
Richard K. Guy,United Kingdom,male,1916
Olivier Guéant,,male,
Yusnier Viera,Cuba,male,1982
Johan Wästlund,,male,1971
Caius Iacob,Romania,male,1912
Sergey Fomin,"United States of America, Soviet Union",male,1958
Shiu-Yuen Cheng,,male,
Henri Lebesgue,France,male,1875
Frances A. Rosamond,Australia,female,
John H. Palmieri,United States of America,male,
Ernst Jacobsthal,"Germany, Norway",male,1882
Yair Minsky,United States of America,male,1962
Roger Carter (mathematician),United States of America,male,1934
Antonio Maria Bordoni,,male,1789
Friedrich Wilhelm Schäfke,Germany,male,1922
Lawrence Crawford (mathematician),United Kingdom,male,1867
Alexei Kostrikin,"Soviet Union, Russia",male,1929
Anna Zofia Krygowska,Poland,female,1904
Hidehiko Yamabe,Japan,male,1923
Rebecca A. Herb,United States of America,female,1948
André Fortin (mathematician),,male,
Steven J. Miller,United States of America,male,1974
Sujatha Ramdorai,,female,1962
Paul Ernest,United States of America,male,1944
George Uhlenbeck,"Kingdom of the Netherlands, United States of America",male,1900
Thomas Murray MacRobert,"United Kingdom, Scotland",male,1884
Ole Peder Arvesen,Norway,male,1895
V. Ramaswamy Aiyer,India,male,1871
George Adolphus Schott,,male,1868
George Glauberman,United States of America,male,1941
Andrew Granville,Canada,male,1962
Olinde Rodrigues,France,male,1795
Archie Alexander,United States of America,male,1888
Guy Terjanian,Armenia,male,
Richard Laver,United States of America,male,1942
Ladislaus Bortkiewicz,"Poland, Russian Empire, Soviet Union",male,1868
Pierre Dusart,France,male,
Harold Schoen,United States of America,male,
Edward J. McShane,United States of America,male,1904
Wilhelm Jordan (geodesist),Germany,male,1842
Alfred Lodge,,male,1854
Freydoon Shahidi,Iran,male,1947
David E. Barrett,,male,
James Hamilton (physicist),United Kingdom,male,1918
Michael Dinneen,New Zealand,male,
Marcel Grossmann,Switzerland,male,1878
Jon Barwise,United States of America,male,1942
Jeremy Quastel,Canada,male,
Yurii Reshetnyak,"Soviet Union, Russia",male,1929
V. S. Huzurbazar,India,male,1919
Norman Levinson,United States of America,male,1912
Jur Hronec,Slovakia,male,1881
Mizan Rahman,Bangladesh,male,1932
John R. Steel,United States of America,male,1948
N. G. W. H. Beeger,Kingdom of the Netherlands,male,1884
Magnus Hestenes,United States of America,male,1906
Yves Le Jan,France,male,1952
Kannan Soundararajan,"United States of America, India",male,1973
Horace Lamb,United Kingdom,male,1849
Jeremiah J. Callahan,United States of America,male,1878
Chen Jiangong,China,male,1893
Gilles Brassard,Canada,male,1955
Octav Mayer,Romania,male,1895
Michael T. Anderson,United States of America,male,1950
Shayle R. Searle,New Zealand,male,1928
Tomio Kubota,Japan,male,1930
Anna C. Gilbert,,female,1972
Melvin Dresher,United States of America,male,1911
Vasanti N. Bhat-Nayak,India,female,1938
David Gale,United States of America,male,1921
William Raoul Reagle Transue,United States of America,male,1937
Friedrich Risner,Germany,male,1533
Robert G. Bland,United States of America,male,1948
Jorma Rissanen,Finland,male,1932
David Harbater,United States of America,male,1952
Keith Edward Bullen,"New Zealand, Australia",male,1906
Per Lindström,Sweden,male,1936
Robert Harley (mathematician),,male,1828
Jean Baptiste Meusnier,France,male,1754
Vyacheslav Stepanov,Soviet Union,male,1889
Edward Kasner,United States of America,male,1878
Catherine de Parthenay,France,female,1554
Luis Huergo,Argentina,male,1837
Hermann Künneth,Germany,male,1892
Bonnie Stewart,United States of America,male,1914
Francis Bashforth,United Kingdom,male,1819
Walther Mayer,Austria,male,1887
Jack Silver,United States of America,male,1942
Michael Krivelevich,,male,1966
Mitchell Feigenbaum,United States of America,male,1944
Éric Leichtnam,,male,
Kambei Mori,Japan,male,1500
Johann Peter Süssmilch,Germany,male,1707
Karim Adiprasito,,male,
Alberto Calderón,Argentina,male,1920
Margaret Greig,United Kingdom,female,1922
Lynn Steen,United States of America,male,1941
Theophil Henry Hildebrandt,United States of America,male,1888
Thomas N.E. Greville,United States of America,male,1910
Simon von Stampfer,Austria,male,1790
Kathrin Bringmann,Germany,female,1977
Etta Zuber Falconer,United States of America,female,1933
Vyjayanthi Chari,,female,
Paul Benacerraf,"United States of America, France",male,1931
Peter Johnstone (mathematician),United Kingdom,male,1948
Liu Lu,,male,1990
Jagannatha Samrat,,male,1652
Ramón Verea,Spain,male,1833
Oriol Bohigas Martí,France,male,1937
François Budan de Boislaurent,France,male,1761
Khanindra Chandra Chowdhury,,male,
Hans Zantema,Kingdom of the Netherlands,male,1956
