name,country,gender,birth_year
Steffen Lauritzen,,male,
Wim Cohen,Kingdom of the Netherlands,male,1923
Ibn Sahl,Arab,male,940
Johannes von Gmunden,,male,1380
Aleksey Letnikov,Soviet Union,male,1837
Ernst Hellinger,Germany,male,1883
Svetlozar Rachev,,male,1951
Amy Ellis,,female,
Joanne Martin,,female,
Andrei Bolibrukh,Russia,male,1950
Marion Scheepers,,male,
Flora Philip,Scotland,female,1865
Charles Newton Little,,male,1858
George H. Bryan,United Kingdom,male,1864
Arthur Milgram,United States of America,male,1912
Susan Howson,United Kingdom,female,1973
Radoslav Harman,,male,
Haynes Miller,United States of America,male,1948
Gang Tian,"""Peoples Republic of China""",male,1958
Noah Bridges,,male,
Christian Zeller,Germany,male,1822
Boris Chirikov,"Soviet Union, Russia",male,1928
Alexander Kuznetsov (mathematician),Russia,male,1973
Rod Driver,United States of America,male,1932
Hans Werner Ballmann,Germany,male,1951
Mark Naimark,"Ukraine, Soviet Union",male,1909
Teodor von Burg,Serbia,male,1993
Hermann Kober,,male,1888
Yujiro Kawamata,Japan,male,1952
Jacques F. Benders,Kingdom of the Netherlands,male,1925
Igor Kluvánek,Australia,male,1931
Haim Hanani,Poland,male,1912
Zygmunt Wilhelm Birnbaum,"Ukraine, United States of America",male,1903
Col Hutchinson,,male,
Heinz-Dieter Ebbinghaus,Germany,male,1939
Charles B. Morrey Jr.,United States of America,male,1907
Dennis Gaitsgory,United States of America,male,1973
Ole Michael Ludvigsen Selberg,Norway,male,1877
Theodore Seio Chihara,United States of America,male,1929
William Sealy Gosset,United Kingdom,male,1876
Karl-Otto Stöhr,Germany,male,1942
Peter Nicholson (architect),,male,1765
György Alexits,Hungary,male,1899
Dario Graffi,Italy,male,1905
Phoolan Prasad,India,male,1944
Ed Scheinerman,United States of America,male,
Rudolf Halin,,male,1934
Dietrich Tzwyvel,,male,1490
Wolfgang Franz (mathematician),Germany,male,1905
Laurence Chisholm Young,United States of America,male,1905
Pierre-Antoine Véron,France,male,1736
Klaus Fischer (mathematician),United States of America,male,1943
Ivan Vinogradov,"Russian Empire, Soviet Union",male,1891
Kevin Costello,,male,1977
Michael Spivak,United States of America,male,1940
Yakov Geronimus,"Russian Empire, Soviet Union",male,1898
Thomas Muir (mathematician),Scotland,male,1844
Jerry Kazdan,United States of America,male,1937
Elwyn Berlekamp,United States of America,male,1940
Sergey Stechkin,"Soviet Union, Russia",male,1920
James R. Norris,United Kingdom,male,1960
Ira Gessel,,male,
George Springer (mathematician),United States of America,male,1924
Helmut Hofer,Germany,male,1956
Giambattista Suardi,,male,1711
Abu al-Jud,,male,
Arthur Geoffrey Walker,United Kingdom,male,1909
Marcin Odlanicki Poczobutt,"Polish–Lithuanian Commonwealth, Grand Duchy of Lithuania, Russian Empire",male,1728
Steven Strogatz,United States of America,male,1959
Warren Randolph Burgess,United States of America,male,1889
Susan Friedlander,United States of America,female,1946
Joel Shapiro (mathematician),United States of America,male,
Alfred J. Lotka,United States of America,male,1880
Ron Eglash,United States of America,male,1958
Eugene Wigner,"Austria-Hungary, United States of America",male,1902
Francisco Antônio Dória,Brazil,male,1945
Theodore Wilbur Anderson,United States of America,male,1918
Karl Adams (mathematician),Germany,male,1811
Gustaf Eneström,Sweden,male,1852
Karl Bopp,Germany,male,1877
Sergey Bobkov,Soviet Union,male,1961
Edmund Hess,Germany,male,1843
Al-Birjandi,Iran,male,
Hypatia of Alexandria,Roman Empire,"female, Italian Wikipedia",370
Andreas Brandstädt,Germany,male,1949
Edward Rowe Mores,,male,1731
Christian Pommerenke,Germany,male,1933
George B. Purdy,United States of America,male,
Alexander Lubotzky,Israel,male,1956
Theodor Schwenk,Germany,male,1910
Tadeusz Iwaniec,United States of America,male,1947
Eric Anders Carlen,,male,
Pierre Deligne,Belgium,male,1944
Eustachio Manfredi,,male,1674
Stanisław Mazur,Poland,male,1905
Ion Ionescu de la Brad,Romania,male,1818
Jean Leurechon,France,male,1591
Diego Rodríguez (mathematician),Mexico,male,1569
Peter Thullen,"Germany, Ecuador",male,1907
Niels Ferguson,Kingdom of the Netherlands,male,1965
Raymundo Favila,,male,
